error,image,class,confidence,iou
false_negative,light_01_spur_14_1_600.jpg,spur,,
false_positive,light_01_spurious_copper_01_2_600.jpg,missing_hole,0.4514,0.0000
false_positive,light_04_short_05_1_600.jpg,short,0.4567,0.0000
false_negative,light_04_short_09_1_600.jpg,short,,
false_positive,light_04_spur_04_5_600.jpg,spur,0.6699,0.4577
false_positive,light_04_spur_07_2_600.jpg,spur,0.2955,0.4824
false_negative,light_04_spur_07_2_600.jpg,spur,,
false_positive,light_04_spur_17_3_600.jpg,spur,0.6126,0.4044
false_negative,light_04_spur_17_3_600.jpg,spur,,
false_positive,light_04_spurious_copper_06_1_600.jpg,spurious_copper,0.3876,0.0000
false_positive,light_04_spurious_copper_06_1_600.jpg,spurious_copper,0.2761,0.0000
false_positive,light_04_spurious_copper_07_3_600.jpg,spurious_copper,0.4242,0.0000
false_positive,light_04_spurious_copper_11_3_600.jpg,spurious_copper,0.5080,0.0000
false_positive,light_04_spurious_copper_11_3_600.jpg,spurious_copper,0.4110,0.0000
false_negative,light_04_spurious_copper_13_4_600.jpg,spurious_copper,,
false_positive,light_05_mouse_bite_09_3_600.jpg,mouse_bite,0.2502,0.0000
false_negative,light_05_mouse_bite_09_3_600.jpg,mouse_bite,,
false_positive,light_05_spurious_copper_01_3_600.jpg,spurious_copper,0.3723,0.0000
false_positive,light_05_spurious_copper_05_1_600.jpg,spurious_copper,0.4068,0.0000
false_negative,light_06_mouse_bite_08_3_600.jpg,mouse_bite,,
false_negative,light_06_mouse_bite_08_3_600.jpg,mouse_bite,,
false_positive,light_06_open_circuit_07_1_600.jpg,mouse_bite,0.3296,0.0000
false_negative,light_06_open_circuit_07_1_600.jpg,open_circuit,,
false_negative,light_06_open_circuit_07_4_600.jpg,open_circuit,,
false_negative,light_06_open_circuit_07_4_600.jpg,open_circuit,,
false_negative,light_06_open_circuit_09_4_600.jpg,open_circuit,,
false_positive,light_06_short_05_4_600.jpg,spurious_copper,0.4402,0.0000
false_positive,light_06_spur_02_2_600.jpg,mouse_bite,0.3971,0.0000
false_positive,light_06_spur_02_2_600.jpg,spurious_copper,0.2555,0.0000
false_positive,light_06_spur_03_5_600.jpg,spur,0.5868,0.4882
false_positive,light_06_spur_03_5_600.jpg,spurious_copper,0.4395,0.0000
false_positive,light_06_spur_03_5_600.jpg,spur,0.4181,0.0000
false_positive,light_06_spur_03_5_600.jpg,spur,0.2789,0.0000
false_positive,light_06_spur_09_4_600.jpg,spurious_copper,0.4440,0.0000
false_positive,light_06_spur_09_4_600.jpg,spur,0.4178,0.0000
false_positive,light_06_spur_10_5_600.jpg,spurious_copper,0.4454,0.0000
false_negative,light_06_spur_10_5_600.jpg,spur,,
false_negative,light_06_spurious_copper_03_2_600.jpg,spurious_copper,,
false_positive,light_06_spurious_copper_06_4_600.jpg,spurious_copper,0.2876,0.0000
false_positive,light_06_spurious_copper_07_4_600.jpg,spurious_copper,0.6284,0.0000
false_positive,light_06_spurious_copper_07_4_600.jpg,spurious_copper,0.4248,0.0000
false_negative,light_07_short_01_4_600.jpg,short,,
false_positive,light_07_spur_09_2_600.jpg,spur,0.4046,0.0000
false_positive,light_08_mouse_bite_02_2_600.jpg,spur,0.4214,0.0000
false_positive,light_08_open_circuit_01_2_600.jpg,spur,0.4567,0.0000
false_negative,light_08_spur_02_4_600.jpg,spur,,
false_positive,light_08_spur_05_2_600.jpg,spur,0.4539,0.0000
false_positive,light_08_spurious_copper_07_2_600.jpg,spur,0.4612,0.0000
false_positive,light_08_spurious_copper_07_2_600.jpg,spur,0.2529,0.0000
false_negative,light_08_spurious_copper_08_4_600.jpg,spurious_copper,,
false_positive,light_08_spurious_copper_10_2_600.jpg,spur,0.4526,0.0000
false_positive,light_08_spurious_copper_10_2_600.jpg,spurious_copper,0.3544,0.0000
false_positive,light_09_missing_hole_08_1_600.jpg,missing_hole,0.6683,0.0000
false_positive,light_09_open_circuit_02_4_600.jpg,spurious_copper,0.2859,0.0000
false_negative,light_09_open_circuit_02_4_600.jpg,open_circuit,,
false_negative,light_09_open_circuit_06_5_600.jpg,open_circuit,,
false_positive,light_10_short_02_5_600.jpg,short,0.4791,0.0000
false_negative,light_10_short_02_5_600.jpg,short,,
false_positive,light_10_short_04_5_600.jpg,short,0.3097,0.0000
false_positive,light_11_mouse_bite_07_4_600.jpg,mouse_bite,0.3046,0.4975
false_negative,light_11_mouse_bite_07_4_600.jpg,mouse_bite,,
false_negative,light_11_short_07_2_600.jpg,short,,
false_positive,light_11_spur_07_1_600.jpg,spur,0.2513,0.0000
false_positive,light_11_spur_10_4_600.jpg,spurious_copper,0.5959,0.0000
false_positive,light_12_mouse_bite_05_5_600.jpg,mouse_bite,0.3875,0.0000
false_positive,light_12_mouse_bite_05_5_600.jpg,mouse_bite,0.3030,0.0000
false_positive,light_12_mouse_bite_05_5_600.jpg,mouse_bite,0.2809,0.0000
false_positive,light_12_open_circuit_05_2_600.jpg,open_circuit,0.3564,0.0000
false_positive,light_12_open_circuit_09_1_600.jpg,mouse_bite,0.2794,0.0000
false_positive,light_12_spurious_copper_10_3_600.jpg,spurious_copper,0.2978,0.0000
false_positive,rotation_270_light_01_mouse_bite_01_3_600.jpg,open_circuit,0.4540,0.0000
false_negative,rotation_270_light_01_mouse_bite_01_3_600.jpg,mouse_bite,,
false_positive,rotation_270_light_01_mouse_bite_06_1_600.jpg,open_circuit,0.2589,0.0000
false_negative,rotation_270_light_01_mouse_bite_06_1_600.jpg,mouse_bite,,
false_positive,rotation_270_light_01_mouse_bite_07_2_600.jpg,mouse_bite,0.2607,0.4904
false_negative,rotation_270_light_01_mouse_bite_07_2_600.jpg,mouse_bite,,
false_negative,rotation_270_light_01_mouse_bite_11_1_600.jpg,mouse_bite,,
false_negative,rotation_270_light_01_mouse_bite_11_1_600.jpg,mouse_bite,,
false_positive,rotation_270_light_01_mouse_bite_19_1_600.jpg,spur,0.3375,0.0000
false_negative,rotation_270_light_01_mouse_bite_19_1_600.jpg,mouse_bite,,
false_negative,rotation_270_light_01_mouse_bite_19_1_600.jpg,mouse_bite,,
false_negative,rotation_270_light_01_open_circuit_13_3_600.jpg,open_circuit,,
false_positive,rotation_270_light_01_open_circuit_17_2_600.jpg,open_circuit,0.3100,0.4803
false_negative,rotation_270_light_01_open_circuit_17_2_600.jpg,open_circuit,,
false_negative,rotation_270_light_01_short_10_1_600.jpg,short,,
false_positive,rotation_270_light_01_short_17_2_600.jpg,short,0.6316,0.4979
false_negative,rotation_270_light_01_short_17_2_600.jpg,short,,
false_positive,rotation_270_light_01_spurious_copper_12_1_600.jpg,spurious_copper,0.7039,0.4699
false_negative,rotation_270_light_01_spurious_copper_12_1_600.jpg,spurious_copper,,
false_negative,rotation_270_light_01_spurious_copper_16_1_600.jpg,spurious_copper,,
false_negative,rotation_270_light_04_mouse_bite_16_3_600.jpg,mouse_bite,,
false_positive,rotation_270_light_04_open_circuit_01_1_600.jpg,open_circuit,0.3874,0.4139
false_negative,rotation_270_light_04_open_circuit_01_1_600.jpg,open_circuit,,
false_positive,rotation_270_light_04_short_14_3_600.jpg,short,0.6364,0.0000
false_positive,rotation_270_light_04_short_16_5_600.jpg,short,0.4027,0.0000
false_negative,rotation_270_light_04_spur_18_3_600.jpg,spur,,
false_negative,rotation_270_light_04_spurious_copper_06_3_600.jpg,spurious_copper,,
false_positive,rotation_270_light_04_spurious_copper_09_1_600.jpg,spurious_copper,0.2995,0.0000
false_positive,rotation_270_light_04_spurious_copper_10_1_600.jpg,spurious_copper,0.4580,0.0000
false_positive,rotation_270_light_04_spurious_copper_13_2_600.jpg,spurious_copper,0.3003,0.0000
false_positive,rotation_270_light_04_spurious_copper_14_2_600.jpg,spurious_copper,0.3357,0.0000
false_positive,rotation_270_light_05_mouse_bite_03_2_600.jpg,open_circuit,0.3888,0.0000
false_negative,rotation_270_light_05_spurious_copper_05_3_600.jpg,spurious_copper,,
false_positive,rotation_270_light_05_spurious_copper_05_4_600.jpg,spurious_copper,0.2826,0.0000
false_positive,rotation_270_light_05_spurious_copper_10_4_600.jpg,spurious_copper,0.5569,0.0000
false_positive,rotation_270_light_05_spurious_copper_10_4_600.jpg,spurious_copper,0.2809,0.0000
false_positive,rotation_270_light_05_spurious_copper_10_4_600.jpg,spurious_copper,0.2627,0.0000
false_positive,rotation_270_light_06_mouse_bite_02_2_600.jpg,mouse_bite,0.6604,0.0000
false_negative,rotation_270_light_06_mouse_bite_10_5_600.jpg,mouse_bite,,
false_positive,rotation_270_light_06_open_circuit_01_3_600.jpg,open_circuit,0.3823,0.0000
false_negative,rotation_270_light_06_spur_07_3_600.jpg,spur,,
false_positive,rotation_270_light_06_spurious_copper_04_3_600.jpg,open_circuit,0.3522,0.0000
false_negative,rotation_270_light_06_spurious_copper_04_3_600.jpg,spurious_copper,,
false_negative,rotation_270_light_07_spurious_copper_04_2_600.jpg,spurious_copper,,
false_positive,rotation_270_light_08_missing_hole_09_4_600.jpg,missing_hole,0.5422,0.0000
false_positive,rotation_270_light_08_missing_hole_10_4_600.jpg,missing_hole,0.4544,0.0000
false_negative,rotation_270_light_08_missing_hole_10_4_600.jpg,missing_hole,,
false_positive,rotation_270_light_08_mouse_bite_06_3_600.jpg,mouse_bite,0.7458,0.0000
false_negative,rotation_270_light_08_mouse_bite_08_3_600.jpg,mouse_bite,,
false_positive,rotation_270_light_08_open_circuit_05_3_600.jpg,missing_hole,0.4780,0.0000
false_negative,rotation_270_light_08_open_circuit_08_5_600.jpg,open_circuit,,
false_positive,rotation_270_light_08_open_circuit_10_3_600.jpg,mouse_bite,0.4230,0.0000
false_positive,rotation_270_light_08_open_circuit_10_3_600.jpg,open_circuit,0.2616,0.0000
false_negative,rotation_270_light_08_open_circuit_10_3_600.jpg,open_circuit,,
false_positive,rotation_270_light_08_short_10_4_600.jpg,missing_hole,0.4560,0.0000
false_negative,rotation_270_light_08_spurious_copper_04_3_600.jpg,spurious_copper,,
false_positive,rotation_270_light_08_spurious_copper_04_4_600.jpg,missing_hole,0.4804,0.0000
false_positive,rotation_270_light_08_spurious_copper_06_4_600.jpg,missing_hole,0.4731,0.0000
false_positive,rotation_270_light_08_spurious_copper_06_4_600.jpg,spurious_copper,0.3859,0.0000
false_negative,rotation_270_light_09_mouse_bite_08_3_600.jpg,mouse_bite,,
false_positive,rotation_270_light_09_mouse_bite_10_3_600.jpg,open_circuit,0.2511,0.0000
false_negative,rotation_270_light_09_mouse_bite_10_3_600.jpg,mouse_bite,,
false_positive,rotation_270_light_09_open_circuit_03_2_600.jpg,spur,0.2715,0.0000
false_negative,rotation_270_light_09_spurious_copper_06_2_600.jpg,spurious_copper,,
false_positive,rotation_270_light_10_short_02_2_600.jpg,short,0.5445,0.0000
